id,encounter_date,reported_date,year,month,hour,season,country_code,country,region,locale,latitude,longitude,ufo_shape,duration_secs,description
515,1970-10-01 23:00:00,2004-07-08,1970,October,23,Autumn,,,,,-33.137551,81.826172,Light,240.0,bright object seemingly appeared out of nowhere in the indian ocean miles from any land.
1740,1968-10-15 21:30:00,2003-09-12,1968,October,21,Autumn,,,,,-8.783195,-124.508523,Circle,30.0,bright white soundless orb with no trajecory nor trail of flames
2193,2008-10-15 00:00:00,2009-03-19,2008,October,0,Autumn,,United Kingdom,,,53.716667,-0.333333,Disk,420.0,2 orangey red discs similar to other reports from the time.
2801,2008-10-18 23:45:00,2008-10-31,2008,October,23,Autumn,,Belgium,,,50.866667,4.7,Circle,4.0,very fast yellow dot.
3282,2008-10-20 02:00:00,2009-08-27,2008,October,2,Autumn,,,,,-33.137551,81.826172,Unknown,300.0,at night in the middle of the ocean ( a light from unknown source inspecting my ship) from 50-100 meter
4212,1995-10-24 02:00:00,2006-07-16,1995,October,2,Autumn,,,,,40.076986,11.343106,Sphere,30.0,blue colour sphere was obsereved from containershipdia abt 4mtrsfrom dist of abt 8mtr.moved after twds italian coast.
4292,2006-10-24 21:55:00,2006-10-30,2006,October,21,Autumn,,United Kingdom,,,53.716667,-0.333333,Triangle,30.0,3 red lights flying fast in loose triangular formation hull east yorkshire uk.
5363,2010-10-29 21:00:00,2010-11-21,2010,October,21,Autumn,,,,,-33.137551,81.826172,Fireball,5400.0,during the routine bridge watch at sea on the 29th oct 2010 2200 utc in position 03 56s 074 59e i happened to observe a bright reddis
6735,2007-10-06 22:40:00,2012-04-18,2007,October,22,Autumn,,United Kingdom,,,50.8,-0.366667,,240.0,blue star shaped metal machine. 0-1 binary. 7ft star being
7412,1971-01-10 21:00:00,2003-12-19,1971,January,21,Winter,,United Kingdom,,,50.783333,-0.466667,Disk,180.0,about 60 ft long red and yellow lights a big spotlight hoverd overhead about 500yds to the north of us for about 2 to 3 minutes no nois
7889,1996-11-11 23:00:00,2005-09-02,1996,November,23,Autumn,,United Kingdom,,,53.954115,-1.064262,Light,300.0,fast travelling in formation rapid change of trajectory.
8233,2001-01-11 18:00:00,2002-01-29,2001,January,18,Winter,,United Kingdom,,,52.633333,1.3,Changing,360.0,static oblong ufo which changed shape.
8789,2011-11-12 19:00:00,2011-12-12,2011,November,19,Autumn,,United States,,,40.7002778,-73.5933333,Circle,180.0,5 orange round sphere shaped objects float across sky remaining in pattern.
8892,2003-11-13 21:30:00,2003-11-26,2003,November,21,Autumn,,,,,-14.599413,-28.673147,Rectangle,60.0,a bright orange object appeared to be observing our cruise ship in the southern atlantic ocean
10153,2001-11-17 01:27:00,2001-11-20,2001,November,1,Autumn,,New Zealand,,,-43.532054,172.636225,Light,20.0,travelling from south to north off the east coast it was definitely in space what appeared at first to just be a satalite until it m
10470,2006-11-18 22:34:00,2006-12-07,2006,November,22,Autumn,,Netherlands,,,51.921667,4.481111,Flash,60.0,cruising back home from work on my bike i saw 2 flashes going slowly on the horizon.  ((nuforc note:  anonymous.  possible hoax.  pd))
11979,2004-01-12 20:10:00,2004-01-17,2004,January,20,Winter,,Netherlands,,,51.921667,4.481111,Light,5.0,01/12/04 20:10 dutchtime near rotterdam two bright lights moving very fast from some kind of craft.
14674,1985-01-15 01:30:00,2000-02-23,1985,January,1,Winter,,,,,-14.599413,-28.673147,Light,1800.0,flashing lighted object observed by an e-3a awacs crew over the mid-atlantic
16125,2009-01-18 00:00:00,2009-03-19,2009,January,0,Winter,,,,,-14.599413,-28.673147,Cigar,120.0,3 unusual brightly lit craft seen to be using cloud as cover in mid-atlantic.
17263,1993-12-01 22:00:00,2009-03-19,1993,December,22,Winter,,,,,-33.137551,81.826172,Light,5.0,light over military aircraft
17657,1995-12-12 23:45:00,2005-01-19,1995,December,23,Winter,,,,,-8.783195,-124.508523,Unknown,60.0,the object made no sound had colorful lights and moved in a zig zag motion 1000 times faster than the speed of light.
17871,2001-12-13 19:00:00,2002-04-08,2001,December,19,Winter,,,,,-14.599413,-28.673147,Unknown,2700.0,elal flight enroute jfk- object left side of aircraft around 33000 boeing 777 enroute to telaviv-bengurion - object  we say is size of
18579,2010-12-16 19:40:00,2011-01-05,2010,December,19,Winter,,United States,,,41.1008333,-74.1166667,Light,600.0,3 lights zooming through the sky making loud buzzing sounds then vanishing.
18592,2011-12-16 21:30:00,2011-12-17,2011,December,21,Winter,,,,,-14.599413,-28.673147,Light,300.0,crew of lear jet over the atlantic ocean report a bizarre red strobing object.
18877,2011-12-18 21:00:00,2012-01-12,2011,December,21,Winter,,,,,-14.599413,-28.673147,Other,30.0,beautiful clear night on cruse ship  seen metal like bird  shine beam on ship
19818,1994-12-22 19:00:00,2003-08-01,1994,December,19,Winter,,Netherlands,,,53.219384,6.566502,Light,1200.0,radar-visual sighting dur. 20 minutes - audio tape from atc by experiecend pilot of two intelligent lights
20052,2008-12-23 17:11:00,2009-01-10,2008,December,17,Winter,,United Kingdom,,,51.95,1.3,Fireball,120.0,fireballs hover over road and disappear
20878,2007-12-27 21:25:00,2008-03-04,2007,December,21,Winter,,United Kingdom,,,53.716667,-0.333333,Light,300.0,three orange/amber lights observed in hull england on the 27th december 2007 at 21:25
21572,2009-12-31 19:30:00,2010-02-14,2009,December,19,Winter,,United Kingdom,,,55.533333,-4.666667,Circle,600.0,this was a most clear concise sighting of totally inexplicable objects in perfect weather.
