id,encounter_date,reported_date,year,month,hour,season,country_code,country,region,locale,latitude,longitude,ufo_shape,duration_secs,description
65,1996-10-10 20:00:00,1999-05-24,1996,October,20,Autumn,AUS,Australia,New South Wales,,-33.093373,151.588982,Light,300.0,red light with other red flashing light one object
515,1970-10-01 23:00:00,2004-07-08,1970,October,23,Autumn,,,,,-33.137551,81.826172,Light,240.0,bright object seemingly appeared out of nowhere in the indian ocean miles from any land.
800,2006-10-01 06:00:00,2008-07-05,2006,October,6,Autumn,IRQ,Iraq,Al-Anbar Governorate,,33.223191,43.679291,Triangle,15.0,i saw the same thing  in 2006
1051,2002-10-12 19:13:00,2008-08-12,2002,October,19,Autumn,AUS,Australia,,,-25.274398,133.775136,Other,420.0,this was a very close encounter with  unidentifiable flying phenomenon.
1740,1968-10-15 21:30:00,2003-09-12,1968,October,21,Autumn,,,,,-8.783195,-124.508523,Circle,30.0,bright white soundless orb with no trajecory nor trail of flames
1882,1990-10-15 22:30:00,2005-10-20,1990,October,22,Autumn,SAU,Saudi Arabia,Riyadh Region,,23.885942,45.079162,Triangle,20.0,october 1990 - saudi arabia - large dark triangular object - 3 white lights -  20 seconds - no sound - no stars behind object
1916,1995-10-15 21:00:00,2000-12-09,1995,October,21,Autumn,AUS,Australia,Queensland,,-27.251405,152.991072,Fireball,300.0,ufo in kallangur
2193,2008-10-15 00:00:00,2009-03-19,2008,October,0,Autumn,,United Kingdom,England,,53.716667,-0.333333,Disk,420.0,2 orangey red discs similar to other reports from the time.
2801,2008-10-18 23:45:00,2008-10-31,2008,October,23,Autumn,,Belgium,Flemish Brabant,Leuven,50.866667,4.7,Circle,4.0,very fast yellow dot.
3282,2008-10-20 02:00:00,2009-08-27,2008,October,2,Autumn,,,,,-33.137551,81.826172,Unknown,300.0,at night in the middle of the ocean ( a light from unknown source inspecting my ship) from 50-100 meter
3438,2003-10-21 03:00:00,2003-10-31,2003,October,3,Autumn,CAN,Canada,Yukon,,64.282327,-135.0,Triangle,1800.0,triangle of lights in the yukon.
3474,2006-10-21 23:40:00,2006-12-07,2006,October,23,Autumn,AUS,Australia,Western Australia,Karratha,-20.744222,116.804227,Unknown,180.0,objects in the pilbara desert skys of western australia
3629,2002-10-02 22:50:00,2002-10-15,2002,October,22,Autumn,CAN,Canada,Yukon,,64.282327,-135.0,Unknown,8.0,movement of object was very unusual looking and moved with great speed
3888,2009-10-22 21:30:00,2009-12-12,2009,October,21,Autumn,GBR,United Kingdom,England,London,51.394943,-0.19446,Triangle,1200.0,cluster of orange lights over morden uk
4013,2000-10-23 00:00:00,2000-12-02,2000,October,0,Autumn,MKD,North Macedonia,Pelagonia Region,,40.883316,21.022196,Other,180.0,report from macedonia
4212,1995-10-24 02:00:00,2006-07-16,1995,October,2,Autumn,,,,,40.076986,11.343106,Sphere,30.0,blue colour sphere was obsereved from containershipdia abt 4mtrsfrom dist of abt 8mtr.moved after twds italian coast.
4274,2004-10-24 23:27:00,2004-10-27,2004,October,23,Autumn,NAM,Namibia,Omaheke,,-21.846665,19.188005,Cylinder,5.0,bright flash lightens up night sky object fires across sky at unbelievable speed&#8230; ((nuforc note:  possible meteor.  pd))
4292,2006-10-24 21:55:00,2006-10-30,2006,October,21,Autumn,,United Kingdom,England,,53.716667,-0.333333,Triangle,30.0,3 red lights flying fast in loose triangular formation hull east yorkshire uk.
4329,2009-10-24 16:00:00,2009-12-12,2009,October,16,Autumn,GBR,United Kingdom,England,London,51.394943,-0.19446,Disk,600.0,discs over morden surrey uk
4610,2013-10-25 18:25:00,2013-11-11,2013,October,18,Autumn,ARE,United Arab Emirates,Dubai,,25.187459,55.405636,Light,600.0,cloud containing yellow purple and red lights for 5 minutes.  lights remained contained and cloud disappeared after 5-10 minutes.
5363,2010-10-29 21:00:00,2010-11-21,2010,October,21,Autumn,,,,,-33.137551,81.826172,Fireball,5400.0,during the routine bridge watch at sea on the 29th oct 2010 2200 utc in position 03 56s 074 59e i happened to observe a bright reddis
5430,1995-10-30 21:30:00,2003-09-24,1995,October,21,Autumn,AUS,Australia,Western Australia,,-26.316667,113.333333,Triangle,300.0,triangle one light on each corner very little noise and two seperate white light spheres.
5857,2005-10-31 19:30:00,2005-11-08,2005,October,19,Autumn,AUS,Australia,,,-25.274398,133.775136,Disk,180.0,chromed disc shapped object moving irractically dissapearing/reapearing very fast to floating at times. clear skies at dusk.
6694,2004-10-06 22:15:00,2004-10-27,2004,October,22,Autumn,USA,United States,Pennsylvania,,40.0569444,-76.5525,Triangle,60.0,slow and low flying triangular craft with lights some blinking with a slight engine sound
6735,2007-10-06 22:40:00,2012-04-18,2007,October,22,Autumn,,United Kingdom,England,,50.8,-0.366667,,240.0,blue star shaped metal machine. 0-1 binary. 7ft star being
6841,1989-10-07 00:00:00,2003-11-26,1989,October,0,Autumn,LBY,Libya,District of Al-Jufra,,26.3351,17.228331,Circle,60.0,a bright red circle shaped object that was moving straight and zigzaging.
7412,1971-01-10 21:00:00,2003-12-19,1971,January,21,Winter,,United Kingdom,England,Arun,50.783333,-0.466667,Disk,180.0,about 60 ft long red and yellow lights a big spotlight hoverd overhead about 500yds to the north of us for about 2 to 3 minutes no nois
7889,1996-11-11 23:00:00,2005-09-02,1996,November,23,Autumn,,United Kingdom,England,York,53.954115,-1.064262,Light,300.0,fast travelling in formation rapid change of trajectory.
8233,2001-01-11 18:00:00,2002-01-29,2001,January,18,Winter,,United Kingdom,England,Norwich,52.633333,1.3,Changing,360.0,static oblong ufo which changed shape.
8599,2013-01-11 21:00:00,2013-05-15,2013,January,21,Winter,AUS,Australia,,,-25.274398,133.775136,Disk,30.0,ufo in western australian skies.
8658,1999-11-12 23:30:00,2000-04-15,1999,November,23,Autumn,AUS,Australia,Queensland,,-19.135865,146.842356,Light,600.0,watching stormthought a boat let out a flarea red hovering light but the flare zig zagged then flew on angle then flew straight behi
8789,2011-11-12 19:00:00,2011-12-12,2011,November,19,Autumn,,United States,New York,,40.7002778,-73.5933333,Circle,180.0,5 orange round sphere shaped objects float across sky remaining in pattern.
8892,2003-11-13 21:30:00,2003-11-26,2003,November,21,Autumn,,,,,-14.599413,-28.673147,Rectangle,60.0,a bright orange object appeared to be observing our cruise ship in the southern atlantic ocean
8921,2007-11-13 01:30:00,2007-11-28,2007,November,1,Autumn,AUS,Australia,New South Wales,,-33.224584,151.221857,Light,600.0,pulsating light dissappeared glided across sky descended dissappeared reappeared
8977,2010-11-13 21:30:00,2010-11-21,2010,November,21,Autumn,AUS,Australia,,,-25.274398,133.775136,Changing,600.0,strange group of moving bright objects observed by family and captured footage in au nov 10 ((nuforc note:  photos ambiguous.  pd))
10153,2001-11-17 01:27:00,2001-11-20,2001,November,1,Autumn,,New Zealand,Canterbury,Christchurch,-43.532054,172.636225,Light,20.0,travelling from south to north off the east coast it was definitely in space what appeared at first to just be a satalite until it m
10470,2006-11-18 22:34:00,2006-12-07,2006,November,22,Autumn,,Netherlands,South Holland,Rotterdam,51.921667,4.481111,Flash,60.0,cruising back home from work on my bike i saw 2 flashes going slowly on the horizon.  ((nuforc note:  anonymous.  possible hoax.  pd))
10559,2012-11-18 22:55:00,2012-11-19,2012,November,22,Autumn,GBR,United Kingdom,England,London,51.35,0.1,Other,300.0,i saw a large shimmering armoured riot like vehicle hovering off the ground making jet sounds with random flashing lights on
10865,1980-01-01 19:00:00,2005-06-20,1980,January,19,Winter,AUS,Australia,Queensland,,-16.816667,145.716667,Other,600.0,1 slow moving ufo rising from east (ocean) to west on straight path rectangular/cylindrical shape.
10898,1996-01-01 03:00:00,2007-11-28,1996,January,3,Winter,AUS,Australia,Western Australia,,-32.075542,115.779634,Unknown,900.0,it came to me in the form of a dream. i was looking out side my windows of my bedroom and i saw 3 grey beings. they seemed to be about
11067,2007-01-01 13:40:00,2007-02-01,2007,January,13,Winter,GBR,United Kingdom,England,London,51.608139,0.10079,Triangle,240.0,in clear daylight three white lights in triangular formation very high in sky moving eastwards.
11150,2009-01-01 02:10:00,2009-01-10,2009,January,2,Winter,GBR,United Kingdom,England,London,51.383333,-0.1,Other,180.0,moving lights across the sky pair and triangular.
11186,2010-01-01 00:15:00,2010-02-14,2010,January,0,Winter,GBR,United Kingdom,Northern Ireland,,54.787715,-6.492315,Sphere,300.0,i was looking out my living room window when i saw a light in the sky which i thought must be an aeroplane but we dont normally have t
11333,2013-01-01 00:04:00,2013-05-15,2013,January,0,Winter,AUS,Australia,Queensland,,-27.522349,153.191323,Disk,300.0,3 disc like crafts sighted on the eve of 2013 in brisbane area australia.
11822,2009-11-21 16:00:00,2009-12-12,2009,November,16,Autumn,CAN,Canada,Yukon,,64.282327,-135.0,Sphere,7200.0,flying bowling balls dodge from cloud-to-cloud
11979,2004-01-12 20:10:00,2004-01-17,2004,January,20,Winter,,Netherlands,South Holland,Rotterdam,51.921667,4.481111,Light,5.0,01/12/04 20:10 dutchtime near rotterdam two bright lights moving very fast from some kind of craft.
12011,2005-01-12 21:00:00,2005-01-19,2005,January,21,Winter,GBR,United Kingdom,England,London,51.416667,0.116667,Cross,3600.0,ufos over sidcup kent uk.
12384,2009-11-22 00:00:00,2009-12-12,2009,November,0,Autumn,KWT,Kuwait,Jahra,,29.31166,47.481766,Light,5.0,one light over camp lsa kuwait; moving fast - made a 'z' maneuver.
14027,2005-11-03 01:30:00,2005-11-08,2005,November,1,Autumn,PRI,British Virgin Islands,,,18.318899,-64.61106,Oval,120.0,oval object with two sets of lights around outter edge.  2-3 minutes
14674,1985-01-15 01:30:00,2000-02-23,1985,January,1,Winter,,,,,-14.599413,-28.673147,Light,1800.0,flashing lighted object observed by an e-3a awacs crew over the mid-atlantic
14770,2000-01-15 20:15:00,2000-04-01,2000,January,20,Winter,AUS,Australia,New South Wales,,-33.093373,151.588982,Circle,900.0,at the approx time of 8.15pm a bright circular red light was spotted north east of lake macquarie nsw australia.
15016,2009-11-05 22:00:00,2010-04-13,2009,November,22,Autumn,GBR,United Kingdom,England,London,51.55,0.166667,Fireball,90.0,ball of fire in sky in united kingdom
15184,1995-01-16 20:00:00,2008-02-14,1995,January,20,Winter,KWT,Kuwait,Jahra,,29.31166,47.481766,Fireball,300.0,green fire ball in kuwait toward the sky  and a power failure at the same location for one hour
15263,2004-11-06 01:00:00,2007-02-01,2004,November,1,Autumn,GBR,United Kingdom,England,London,51.550501,-0.304841,Unknown,20.0,9 glowing orbs sighted over wembley uk. one orb exhibiting extraordinarily odd behaviour.
15529,1991-01-17 02:46:00,2003-12-09,1991,January,2,Winter,IRQ,Iraq,Al-Anbar Governorate,,33.223191,43.679291,Triangle,300.0,strange black triangle moved close to our formation
