id,encounter_date,reported_date,year,month,hour,season,country_code,country,region,locale,latitude,longitude,ufo_shape,duration_secs,description
480,1952-10-01 03:30:00,2006-12-07,1952,October,3,Autumn,JPN,Japan,,Fukuoka,33.590355,130.401716,Disk,1200.0,ufo seen by multiple u. s. military personnel; f-86 intercept.
515,1970-10-01 23:00:00,2004-07-08,1970,October,23,Autumn,,,,,-33.137551,81.826172,Light,240.0,bright object seemingly appeared out of nowhere in the indian ocean miles from any land.
532,1974-10-01 20:00:00,2007-08-07,1974,October,20,Autumn,TUR,Turkey,,Çankaya,39.92077,32.85411,Changing,300.0,a bright huge and shape-changing object exploded into numerous smaller spherical objects which moved in formation.
797,2006-10-01 01:20:00,2006-10-30,2006,October,1,Autumn,TUR,Turkey,,Osmangazi,40.182846,29.067084,Teardrop,3.0,bright green object in the sky
869,2008-10-01 00:24:00,2008-10-31,2008,October,0,Autumn,MYS,Malaysia,,Kuala Lumpur,3.139003,101.686855,Disk,300.0,a huge 'creature' built up with a line of bright line with a red light at the middle top of it appears in the dark clear malaysia sky.
889,2008-10-01 21:00:00,2012-05-13,2008,October,21,Autumn,ARM,Armenia,,Yerevan,40.183333,44.516667,Unknown,60.0,red light appears in night sky and disappears.
1017,1999-10-12 10:30:00,2008-07-05,1999,October,10,Autumn,FRA,Jersey,,Carrefour Selous,49.214439,-2.13125,Disk,180.0,i was on my roof. look up i saw two gray disk like abjects . .no lights just at a dead stop.
1051,2002-10-12 19:13:00,2008-08-12,2002,October,19,Autumn,AUS,Australia,,,-25.274398,133.775136,Other,420.0,this was a very close encounter with  unidentifiable flying phenomenon.
1283,2002-10-13 22:00:00,2003-07-23,2002,October,22,Autumn,HUN,Hungary,,Budapest,47.497912,19.040235,Oval,600.0,blue-greay oval over szentendre (hungary)
1332,2006-10-13 00:02:00,2006-10-30,2006,October,0,Autumn,DEU,Germany,,Berlin,52.516667,13.4,Fireball,120.0,7 shooting lights followed by a formation followed by a fireball.they appeared to be white in colour and exhude an extrodinary a
1346,2007-10-13 02:25:00,2007-11-28,2007,October,2,Autumn,JPN,Japan,,Kagoshima,31.596554,130.557116,Formation,15.0,object was a birdlike formation suddenly apearing in the sky then gradually passing toward north-east and suddenly vanishing. event las
1549,2002-10-14 19:30:00,2002-10-15,2002,October,19,Autumn,PHL,Philippines,,Balulang,8.454236,124.631898,Circle,300.0,my boyfriend and i went outside the firexit stairs on a 4 sorey building where the fm radio station is. my boyfriend first saw a white
1740,1968-10-15 21:30:00,2003-09-12,1968,October,21,Autumn,,,,,-8.783195,-124.508523,Circle,30.0,bright white soundless orb with no trajecory nor trail of flames
1881,1990-10-15 21:30:00,2001-10-12,1990,October,21,Autumn,TWN,Taiwan,,Taipei,25.091075,121.559834,Circle,30.0,7 luminous objects circle shapes; 6 objects circled to be a ring and 1 object in the center. around half of the moon size
2193,2008-10-15 00:00:00,2009-03-19,2008,October,0,Autumn,,United Kingdom,England,,53.716667,-0.333333,Disk,420.0,2 orangey red discs similar to other reports from the time.
2322,2002-10-16 17:28:00,2002-10-28,2002,October,17,Autumn,JPN,Japan,Osaka Prefecture,Osaka,34.693738,135.502165,Fireball,600.0,thick strand of light flying across the sunsetting sky at high speed
2378,2007-10-16 04:45:00,2007-11-28,2007,October,4,Autumn,JPN,Japan,,Shinjuku,35.689488,139.691706,Light,15.0,circular object with 3 bright white lights attached
2801,2008-10-18 23:45:00,2008-10-31,2008,October,23,Autumn,,Belgium,Flemish Brabant,,50.866667,4.7,Circle,4.0,very fast yellow dot.
3028,2012-10-19 02:30:00,2012-10-30,2012,October,2,Autumn,KOR,South Korea,,Samjeong-dong,35.228545,128.889352,Disk,5400.0,the night sky in gimhae on the 10/19/12
3282,2008-10-20 02:00:00,2009-08-27,2008,October,2,Autumn,,,,,-33.137551,81.826172,Unknown,300.0,at night in the middle of the ocean ( a light from unknown source inspecting my ship) from 50-100 meter
3353,2012-10-20 18:00:00,2012-10-30,2012,October,18,Autumn,DEU,Germany,,Berlin,52.516667,13.4,Unknown,1500.0,ovni a berlin. sorte de tissu noir flottant en apesanteur et changeant. eclair&eacute; par en dessous par de p&acirc;les mini flash a intermittenc
